ID,x,y
P001,15.522055,-31.27954
P002,7.7377234,-22.90222
P003,10.558932,-26.361273
P004,3.0221896,-45.05361
P005,6.840476,-49.452347
P006,8.008984,-41.65703
P007,14.369942,-47.413303
P008,17.47122,-50.849396
P009,36.74998,-4.4937763
P010,33.86649,-30.072472
P011,26.230513,-25.49881
P012,40.30737,-18.72274
P013,33.619793,-20.192663
P014,45.046257,-10.228554
P015,34.601067,13.109549
P016,17.127058,-13.13667
P017,28.894587,-10.772844
P018,24.472185,-18.06077
P019,25.743132,-35.497643
P020,-18.261896,-30.057995
P021,22.04059,3.560387
P022,41.391003,2.5822065
P023,35.67284,3.5657434
P024,-20.04732,-22.160172
P025,26.626413,10.142837
P026,30.600422,2.738444
P027,14.314727,5.5056977
P028,-25.457912,-22.42555
P029,19.705362,8.4561205
P030,-62.29555,-12.675952
P031,-33.43437,-24.317675
P032,-16.494204,41.936672
P033,-14.763164,9.713559
P034,-58.450535,25.300112
P035,-41.689125,-27.175245
P036,-17.512533,19.577332
P037,-19.883564,13.70683
P038,15.047966,37.47992
P039,10.688399,38.141224
P040,-63.79553,26.616796
P041,17.106657,20.077131
P042,15.056668,13.9654
P043,20.228388,48.79019
P044,15.796072,27.115875
P045,21.506905,28.84808
P046,28.241953,26.055208
P047,26.18289,49.74828
P048,26.934101,36.02141
P049,21.688457,41.72697
P050,8.104592,25.153124
P051,-14.854412,34.582558
P052,-19.323814,30.809008
P053,-22.271008,20.155521
P054,-64.182335,-7.827824
P055,-10.090643,32.025967
P056,-62.57571,8.242929
P057,-46.930378,22.433157
P058,-49.042305,27.576668
P059,-52.06551,20.108965
P060,-55.363636,2.5870097
P061,-57.75319,12.70813
P062,-42.130783,37.2841
P063,-40.024605,30.862778
P064,-13.543672,-68.678406
P065,-18.149643,-73.0946
P066,-21.260988,-69.51215
P067,-0.44796872,-71.642365
P068,4.2017226,-73.04742
P069,-22.058088,-78.92855
P070,-13.185209,-61.948513
P071,-8.422557,-67.5305
P072,-9.60325,-76.18976
P073,11.983565,-65.72927
P074,61.86508,15.03958
P075,74.986206,-6.9463224
P076,79.49367,-7.628132
P077,80.19797,1.281965
P078,64.49597,-0.8266718
P079,59.449604,5.7807283
P080,63.300434,8.314623
P081,70.19799,15.282376
P082,73.89114,0.45438293
P083,24.097963,-10.95742
P084,-24.409477,-10.361243
P085,-47.670296,12.455039
P086,-42.943066,4.5873547
P087,-38.540028,2.5240703
P088,-59.020477,33.01504
P089,-33.982754,23.244106
P090,-39.278893,-21.315062
P091,-36.62732,-16.629383
P092,-32.48717,-31.860874
P093,-52.019012,-19.30033
P094,-64.953156,-1.0666939
P095,-38.739243,18.294935
P096,-5.7469635,26.604164
P097,-32.75901,13.743268
P098,-45.146812,-32.836018
P099,3.9131858,42.948566
P100,-71.79758,-0.93233573
P101,74.76733,9.408623
