ID,x,y
P001,-0.18662159,8.453659
P002,-0.3156899,8.117601
P003,-0.11086943,8.042516
P004,0.014302432,8.8443985
P005,0.26150578,9.085953
P006,0.3620907,8.524688
P007,0.4631856,8.618394
P008,0.5424005,8.733891
P009,-1.5375232,8.393734
P010,-0.6177806,8.388564
P011,-0.7071509,8.676638
P012,-1.1352732,8.106466
P013,-0.89151245,8.0934305
P014,-1.6764456,8.045448
P015,-1.5846481,7.739345
P016,-1.0395638,8.861258
P017,-1.37484,8.731046
P018,-1.1262228,8.935523
P019,-0.44485345,8.558997
P020,0.62258244,7.663583
P021,-1.2685637,7.4830394
P022,-1.3220904,8.031431
P023,-1.8453442,8.096586
P024,0.2204322,7.5359826
P025,-0.68221647,7.7497754
P026,-1.6745468,7.6722536
P027,-1.0833027,7.295183
P028,0.5072779,7.2604866
P029,-1.045247,7.5589557
P030,0.8861357,6.3432083
P031,0.9229475,7.403162
P032,-0.8272192,6.5632477
P033,-0.40090925,6.3266773
P034,0.59983474,5.2276306
P035,0.9283218,7.0899634
P036,-0.60425746,5.8389196
P037,-0.24008323,5.846489
P038,-1.7627773,6.606419
P039,-1.4247668,6.605838
P040,0.5424551,5.189312
P041,-1.3601948,7.154458
P042,-0.6749609,7.383755
P043,-2.0229924,6.403854
P044,-1.8538175,6.977095
P045,-1.8073463,6.8611035
P046,-1.5189242,6.891446
P047,-2.0836773,6.4662995
P048,-2.2224617,6.774114
P049,-2.1298218,6.6747656
P050,-1.5059806,7.124822
P051,-0.9505473,6.102321
P052,-0.53866255,5.942517
P053,-0.27601027,6.0127425
P054,0.8433491,5.8878684
P055,-0.9344218,6.083898
P056,0.6425259,6.070239
P057,0.20736067,5.4883256
P058,0.2744161,5.718907
P059,0.4405244,5.422834
P060,0.9563036,5.4699116
P061,0.48592198,5.8210793
P062,0.008894513,5.2571483
P063,0.049538486,5.2253118
P064,1.1755822,8.859279
P065,1.2887086,9.02855
P066,1.3002318,8.745467
P067,0.96024907,9.279371
P068,0.6984194,9.449761
P069,1.4300845,8.857083
P070,1.1116616,8.991651
P071,1.0384936,9.033441
P072,1.1922702,9.275026
P073,0.15099359,9.489655
P074,-2.511997,8.891853
P075,-2.3207765,9.249223
P076,-2.2443128,9.285476
P077,-2.4158628,9.260137
P078,-2.4668431,8.839169
P079,-2.4730306,8.4731045
P080,-2.7289236,8.8578005
P081,-2.818662,9.077953
P082,-2.5476425,9.426683
P083,-1.373268,8.855761
P084,0.22173747,7.026685
P085,0.91266096,5.2110333
P086,0.56524086,4.8002567
P087,0.28468955,4.7247157
P088,0.5475492,4.8672323
P089,-0.2683386,5.5200257
P090,1.0412353,6.84553
P091,0.80317193,7.105112
P092,0.9880389,7.4467545
P093,1.084305,6.4911685
P094,1.0689356,5.7559924
P095,0.12556611,5.920215
P096,-0.82214224,6.2924366
P097,-0.041046415,6.3051662
P098,1.1146505,6.937796
P099,0.027369443,4.96994
P100,1.0324124,5.8470845
P101,-2.7602448,9.132006
