ID,Name,Description
MS1,Theism,The view that a personal or providential God (or gods) exists and is metaphysically fundamental to reality.
MS2,Materialism / Naturalism / Physicalism,"The view that reality is ultimately physical or natural, without appeal to immaterial souls, forms, or supernatural causes."
MS3,Nominalism / Anti-essentialism,"The view that general categories, universals, and essences are human constructs or labels rather than mind-independent realities."
MS4,Platonism / Realism about Forms,"The view that abstract Forms, universals, or ideal realities exist independently of and more fundamentally than the physical world."
MS5,Existentialist / Phenomenological Ontology,"Accounts of being grounded in lived experience, consciousness, and the concrete structures of existing in the world."
MS6,Hindu / Daoist / East-South Asian Metaphysics,"Metaphysical frameworks from Hindu and Daoist traditions, including non-dualism, the Dao, and cosmic or processual views of reality."
MS7,Moral Realism / Value Theory,The view that moral or evaluative facts and values are objectively real features of the world.
MS8,Idealism,"The view that reality is fundamentally mental or spiritual in nature, with matter dependent on or constituted by mind."
MS9,Skepticism / Anti-metaphysics,"Doubt about the possibility of secure metaphysical knowledge, or rejection of traditional metaphysical questions as confused or meaningless."
MS10,Dualism,"The view that reality (or the human person) is composed of two fundamentally distinct kinds of substance, typically mind and matter."
MS11,Aristotelian Realism / Hylomorphism,"The Aristotelian view that things are composites of form and matter, with substances as the basic units of reality."
MS12,Social / Political Metaphysics,"Accounts of reality centered on social structures, historical forces, or the material conditions of collective life."
MS13,Pluralism,"The view that reality is composed of many distinct, irreducible kinds of things rather than one unified substance or principle."
MS14,Buddhist Non-dualism / Emptiness,"The Buddhist view that phenomena lack fixed, independent essence (emptiness) and arise through dependent origination."
MS15,Pantheism / Process Philosophy,"The view that God is identical with or immanent in nature, or that reality is best understood as ongoing process rather than fixed substance."
