ID,Name,Description
PT1,Ethics,"Questions about right action, virtue, the good life, and how one ought to live."
PT2,Political Philosophy,"Questions about the state, justice, power, law, and the legitimate organization of society."
PT3,Metaphysics,"Questions about the fundamental nature of reality, being, substance, causation, and existence."
PT4,Philosophy of Religion,"Questions about God, the divine, faith, religious experience, and the relationship between reason and revelation."
PT5,Epistemology,"Questions about the nature, sources, and limits of knowledge and justified belief."
PT6,Social & Cultural Theory,"Analysis of society, culture, ideology, race, and power beyond the narrower confines of formal political theory."
PT7,Logic & Language,"The formal study of valid reasoning, meaning, and how language relates to thought and the world."
PT8,Philosophy of Mind,"Questions about consciousness, mental states, personal identity, and the relationship between mind and body."
PT9,Aesthetics,"Questions about beauty, art, taste, and aesthetic experience and judgment."
PT10,Philosophy of History,"Questions about the meaning, direction, and intelligibility of historical change."
PT11,Philosophy of Science,"Questions about scientific method, explanation, evidence, and the structure of scientific theories."
PT12,Education,"Questions about the aims, methods, and value of teaching and the formation of character and mind."
PT13,Economics & Philosophy of Life,"Questions about material life, work, and the broader practical conduct and meaning of a human life."
PT14,Existentialism,"Questions about freedom, authenticity, anxiety, and the meaning of individual existence."
PT15,Philosophy of Law,"Questions about the nature of law, legal obligation, and the relationship between law and morality."
