PhilosopherID,DimensionID,Rank
P001,CV5,1
P002,CV5,1
P003,CV5,1
P004,CV5,1
P005,CV5,1
P006,CV5,1
P007,CV9,1
P008,CV9,1
P009,CV13,1
P010,CV3,1
P011,CV3,1
P012,CV3,1
P013,CV3,1
P014,CV3,1
P015,CV3,1
P016,CV14,1
P017,CV7,1
P018,CV7,1
P019,CV3,1
P020,CV15,1
P021,CV1,1
P022,CV1,1
P023,CV1,1
P024,CV1,1
P025,CV1,1
P026,CV1,1
P027,CV1,1
P028,CV1,1
P029,CV1,1
P030,CV1,1
P031,CV1,1
P032,CV1,1
P033,CV1,1
P034,CV1,1
P035,CV1,1
P036,CV1,1
P037,CV1,1
P038,CV2,1
P039,CV2,1
P040,CV1,1
P041,CV1,1
P042,CV1,1
P043,CV1,1
P044,CV1,1
P045,CV2,1
P046,CV1,1
P047,CV1,1
P048,CV2,1
P049,CV2,1
P050,CV1,1
P051,CV1,1
P052,CV1,1
P053,CV1,1
P054,CV1,1
P055,CV1,1
P056,CV1,1
P057,CV1,1
P058,CV1,1
P059,CV1,1
P060,CV1,1
P061,CV1,1
P062,CV1,1
P063,CV1,1
P064,CV4,1
P065,CV4,1
P066,CV4,1
P067,CV4,1
P068,CV4,1
P069,CV4,1
P070,CV4,1
P071,CV10,1
P072,CV10,1
P073,CV16,1
P074,CV6,1
P075,CV8,1
P076,CV8,1
P077,CV8,1
P078,CV8,1
P079,CV6,1
P080,CV6,1
P081,CV6,1
P082,CV17,1
P083,CV7,1
P084,CV7,1
P085,CV18,1
P086,CV11,1
P087,CV11,1
P088,CV12,1
P089,CV12,1
P090,CV2,1
P091,CV2,1
P092,CV1,1
P093,CV2,1
P094,CV2,1
P095,CV19,1
P096,CV2,1
P097,CV1,1
P098,CV20,1
P099,CV2,1
P100,CV2,1
P101,CV6,1
