PhilosopherID,DimensionID,Rank
P001,ES12,1
P001,ES8,2
P002,ES1,1
P003,ES4,1
P004,ES4,1
P005,ES4,1
P006,ES4,1
P006,ES1,2
P007,ES4,1
P007,ES1,2
P008,ES4,1
P008,ES1,2
P009,ES9,1
P009,ES3,2
P010,ES3,1
P011,ES1,1
P011,ES3,2
P012,ES3,1
P012,ES1,2
P013,ES3,1
P013,ES1,2
P014,ES3,1
P014,ES2,2
P015,ES4,1
P015,ES8,2
P016,ES1,1
P016,ES6,2
P017,ES1,1
P017,ES15,2
P018,ES1,1
P019,ES6,1
P019,ES8,2
P020,ES4,1
P021,ES1,1
P021,ES13,2
P022,ES1,1
P023,ES1,1
P024,ES4,1
P024,ES15,2
P025,ES4,1
P025,ES13,2
P026,ES4,1
P026,ES2,2
P027,ES4,1
P027,ES8,2
P028,ES1,1
P028,ES9,2
P029,ES10,1
P029,ES1,2
P029,ES13,3
P030,ES1,1
P030,ES5,2
P031,ES4,1
P032,ES1,1
P032,ES12,2
P033,ES1,1
P033,ES9,2
P033,ES3,3
P034,ES5,1
P034,ES12,2
P035,ES4,1
P035,ES7,2
P036,ES8,1
P036,ES3,2
P037,ES2,1
P037,ES10,2
P038,ES7,1
P038,ES8,2
P039,ES7,1
P040,ES5,1
P041,ES2,1
P041,ES4,2
P042,ES9,1
P042,ES2,2
P043,ES2,1
P044,ES4,1
P044,ES2,2
P045,ES4,1
P045,ES7,2
P045,ES2,3
P046,ES2,1
P047,ES2,1
P048,ES1,1
P048,ES2,2
P049,ES2,1
P049,ES7,2
P050,ES8,1
P050,ES1,2
P051,ES11,1
P051,ES2,2
P052,ES11,1
P052,ES10,2
P053,ES11,1
P054,ES11,1
P054,ES5,2
P055,ES11,1
P056,ES11,1
P056,ES5,2
P057,ES5,1
P058,ES5,1
P059,ES5,1
P060,ES5,1
P061,ES5,1
P061,ES7,2
P062,ES10,1
P062,ES6,2
P063,ES10,1
P063,ES2,2
P064,ES1,1
P064,ES6,2
P065,ES9,1
P066,ES1,1
P066,ES8,2
P067,ES9,1
P067,ES10,2
P068,ES8,1
P068,ES10,2
P069,ES5,1
P070,ES7,1
P071,ES7,1
P071,ES6,2
P071,ES9,3
P072,ES9,1
P072,ES3,2
P073,ES3,1
P074,ES12,1
P074,ES3,2
P075,ES6,1
P075,ES1,2
P075,ES3,3
P076,ES6,1
P076,ES3,2
P077,ES3,1
P078,ES2,1
P078,ES3,2
P079,ES3,1
P079,ES2,2
P080,ES1,1
P080,ES3,2
P081,ES3,1
P081,ES1,2
P082,ES3,1
P082,ES1,2
P083,ES10,1
P083,ES3,2
P084,ES4,1
P084,ES1,2
P085,ES11,1
P085,ES5,2
P086,ES5,1
P086,ES12,2
P087,ES6,1
P087,ES5,2
P088,ES2,1
P088,ES12,2
P089,ES6,1
P090,ES13,1
P091,ES2,1
P091,ES14,2
P092,ES2,1
P092,ES6,2
P093,ES6,1
P094,ES2,1
P094,ES6,2
P095,ES11,1
P096,ES2,1
P096,ES14,2
P097,ES2,1
P097,ES13,2
P097,ES14,3
P098,ES7,1
P098,ES14,2
P098,ES4,3
P099,ES7,1
P099,ES6,2
P100,ES6,1
P101,ES5,1
P101,ES3,2
P101,ES7,3
