PhilosopherID,DimensionID,Rank
P001,ER2,1
P002,ER2,1
P003,ER2,1
P004,ER7,1
P005,ER7,1
P006,ER7,1
P007,ER2,1
P008,ER2,1
P009,ER2,1
P010,ER3,1
P011,ER3,1
P012,ER3,1
P013,ER3,1
P014,ER3,1
P015,ER3,1
P016,ER3,1
P017,ER3,1
P018,ER3,1
P019,ER8,1
P020,ER8,1
P021,ER4,1
P022,ER4,1
P023,ER4,1
P024,ER4,1
P025,ER4,1
P026,ER4,1
P027,ER4,1
P028,ER4,1
P029,ER4,1
P030,ER4,1
P031,ER4,1
P032,ER6,1
P033,ER6,1
P034,ER6,1
P035,ER6,1
P036,ER6,1
P037,ER6,1
P038,ER6,1
P039,ER6,1
P040,ER6,1
P041,ER1,1
P042,ER1,1
P043,ER1,1
P044,ER1,1
P045,ER1,1
P046,ER1,1
P047,ER1,1
P048,ER1,1
P049,ER1,1
P050,ER1,1
P051,ER1,1
P052,ER1,1
P053,ER1,1
P054,ER1,1
P055,ER1,1
P056,ER1,1
P057,ER1,1
P058,ER1,1
P059,ER1,1
P060,ER1,1
P061,ER5,1
P062,ER1,1
P063,ER1,1
P064,ER2,1
P065,ER2,1
P066,ER2,1
P067,ER2,1
P068,ER2,1
P069,ER2,1
P070,ER2,1
P071,ER3,1
P072,ER4,1
P073,ER3,1
P074,ER2,1
P075,ER3,1
P076,ER3,1
P077,ER2,1
P078,ER2,1
P079,ER3,1
P080,ER3,1
P081,ER3,1
P082,ER2,1
P083,ER3,1
P084,ER3,1
P085,ER1,1
P086,ER1,1
P087,ER1,1
P088,ER1,1
P089,ER1,1
P090,ER1,1
P091,ER1,1
P092,ER5,1
P093,ER5,1
P094,ER5,1
P095,ER5,1
P096,ER5,1
P097,ER5,1
P098,ER5,1
P099,ER5,1
P100,ER5,1
P101,ER2,1
