PhilosopherID,DimensionID,Rank
P001,EO1,1
P002,EO1,1
P003,EO1,1
P004,EO1,1
P004,EO12,2
P005,EO1,1
P006,EO1,1
P006,EO12,2
P007,EO1,1
P007,EO12,2
P008,EO1,1
P008,EO12,2
P009,EO12,1
P010,EO1,1
P010,EO5,2
P011,EO1,1
P012,EO1,1
P012,EO5,2
P013,EO5,1
P013,EO1,2
P014,EO1,1
P014,EO2,2
P014,EO4,3
P015,EO5,1
P016,EO5,1
P016,EO1,2
P017,EO1,1
P018,EO5,1
P019,EO2,1
P019,EO5,2
P020,EO2,1
P021,EO5,1
P021,EO7,2
P022,EO1,1
P022,EO5,2
P023,EO5,1
P023,EO1,2
P024,EO7,1
P024,EO2,2
P025,EO7,1
P026,EO5,1
P027,EO1,1
P028,EO2,1
P028,EO7,2
P028,EO4,3
P029,EO7,1
P030,EO1,1
P030,EO14,2
P031,EO1,1
P031,EO2,2
P032,EO4,1
P033,EO6,1
P034,EO8,1
P035,EO9,1
P035,EO1,2
P036,EO4,1
P036,EO1,2
P037,EO4,1
P038,EO3,1
P038,EO1,2
P039,EO2,1
P039,EO9,2
P040,EO8,1
P041,EO9,1
P042,EO7,1
P043,EO3,1
P043,EO2,2
P044,EO3,1
P044,EO9,2
P045,EO3,1
P045,EO9,2
P046,EO3,1
P047,EO3,1
P048,EO3,1
P049,EO3,1
P050,EO10,1
P050,EO2,2
P051,EO3,1
P051,EO10,2
P052,EO4,1
P052,EO3,2
P053,EO4,1
P054,EO4,1
P055,EO3,1
P055,EO4,2
P056,EO2,1
P057,EO4,1
P057,EO3,2
P058,EO8,1
P058,EO3,2
P059,EO8,1
P060,EO4,1
P061,EO10,1
P062,EO3,1
P062,EO2,2
P063,EO3,1
P063,EO8,2
P064,EO1,1
P064,EO11,2
P064,EO10,3
P065,EO1,1
P065,EO2,2
P066,EO1,1
P066,EO2,2
P067,EO11,1
P068,EO11,1
P069,EO9,1
P069,EO11,2
P070,EO2,1
P071,EO1,1
P071,EO11,2
P072,EO1,1
P072,EO11,2
P073,EO2,1
P073,EO6,2
P074,EO6,1
P075,EO6,1
P075,EO8,2
P076,EO5,1
P076,EO6,2
P077,EO6,1
P078,EO6,1
P078,EO7,2
P079,EO6,1
P080,EO6,1
P081,EO6,1
P082,EO6,1
P083,EO1,1
P083,EO15,2
P084,EO15,1
P084,EO2,2
P085,EO8,1
P086,EO8,1
P086,EO13,2
P087,EO2,1
P087,EO13,2
P088,EO8,1
P088,EO13,2
P089,EO2,1
P089,EO4,2
P090,EO7,1
P091,EO7,1
P092,EO1,1
P092,EO2,2
P093,EO9,1
P093,EO14,2
P094,EO6,1
P094,EO10,2
P094,EO4,3
P095,EO4,1
P095,EO10,2
P095,EO2,3
P096,EO7,1
P096,EO2,2
P097,EO9,1
P098,EO9,1
P099,EO5,1
P099,EO13,2
P100,EO14,1
P101,EO1,1
P101,EO6,2
