PhilosopherID,DimensionID,Rank
P001,MS7,1
P001,MS1,2
P002,MS4,1
P002,MS10,2
P003,MS11,1
P004,MS2,1
P005,MS2,1
P005,MS1,2
P006,MS2,1
P006,MS1,2
P007,MS2,1
P007,MS1,2
P008,MS2,1
P008,MS1,2
P009,MS15,1
P009,MS8,2
P010,MS1,1
P010,MS4,2
P011,MS1,1
P011,MS4,2
P012,MS1,1
P012,MS4,2
P013,MS1,1
P013,MS11,2
P014,MS1,1
P014,MS4,2
P015,MS1,1
P015,MS3,2
P016,MS1,1
P016,MS11,2
P017,MS1,1
P017,MS11,2
P018,MS1,1
P018,MS11,2
P019,MS1,1
P019,MS4,2
P020,MS12,1
P021,MS10,1
P021,MS1,2
P022,MS15,1
P022,MS1,2
P023,MS8,1
P023,MS1,2
P024,MS2,1
P025,MS10,1
P025,MS1,2
P026,MS8,1
P026,MS1,2
P027,MS2,1
P028,MS9,1
P028,MS2,2
P029,MS8,1
P029,MS10,2
P030,MS12,1
P030,MS1,2
P031,MS4,1
P031,MS2,2
P032,MS8,1
P032,MS5,2
P033,MS1,1
P033,MS8,2
P034,MS2,1
P034,MS8,2
P035,MS2,1
P035,MS7,2
P036,MS1,1
P036,MS9,2
P037,MS9,1
P037,MS5,2
P038,MS8,1
P038,MS9,2
P038,MS4,3
P039,MS2,1
P039,MS13,2
P040,MS2,1
P041,MS2,1
P041,MS13,2
P042,MS7,1
P042,MS4,2
P043,MS2,1
P043,MS3,2
P044,MS2,1
P044,MS9,2
P045,MS2,1
P045,MS9,2
P046,MS2,1
P046,MS10,2
P047,MS3,1
P047,MS9,2
P048,MS4,1
P049,MS15,1
P049,MS2,2
P050,MS9,1
P050,MS4,2
P051,MS8,1
P051,MS5,2
P052,MS5,1
P053,MS1,1
P053,MS3,2
P054,MS1,1
P054,MS3,2
P055,MS5,1
P055,MS10,2
P056,MS13,1
P057,MS5,1
P058,MS5,1
P059,MS12,1
P060,MS5,1
P060,MS3,2
P061,MS5,1
P062,MS3,1
P062,MS5,2
P063,MS15,1
P063,MS13,2
P064,MS4,1
P065,MS6,1
P065,MS7,2
P066,MS7,1
P066,MS6,2
P067,MS6,1
P067,MS3,2
P068,MS6,1
P069,MS1,1
P069,MS7,2
P070,MS12,1
P070,MS6,2
P071,MS6,1
P071,MS7,2
P072,MS8,1
P073,MS6,1
P073,MS14,2
P074,MS14,1
P074,MS3,2
P075,MS6,1
P076,MS6,1
P076,MS1,2
P077,MS6,1
P078,MS4,1
P078,MS6,2
P078,MS1,3
P079,MS3,1
P079,MS14,2
P080,MS14,1
P080,MS3,2
P081,MS14,1
P081,MS3,2
P082,MS13,1
P082,MS6,2
P083,MS1,1
P084,MS4,1
P084,MS1,2
P085,MS2,1
P086,MS2,1
P086,MS12,2
P087,MS1,1
P087,MS13,2
P088,MS2,1
P089,MS13,1
P089,MS1,2
P090,MS7,1
P090,MS12,2
P091,MS10,1
P091,MS9,2
P092,MS11,1
P092,MS12,2
P093,MS11,1
P094,MS3,1
P094,MS5,2
P095,MS5,1
P095,MS7,2
P096,MS7,1
P097,MS2,1
P098,MS2,1
P098,MS7,2
P099,MS1,1
P099,MS3,2
P100,MS3,1
P100,MS5,2
P101,MS14,1
