PhilosopherID,DimensionID,Rank
P001,PO4,1
P001,PO1,2
P002,PO4,1
P002,PO3,2
P003,PO4,1
P004,PO1,1
P005,PO3,1
P005,PO1,2
P006,PO3,1
P006,PO1,2
P007,PO3,1
P007,PO4,2
P007,PO9,3
P008,PO3,1
P009,PO1,1
P010,PO5,1
P011,PO5,1
P011,PO3,2
P012,PO5,1
P013,PO3,1
P013,PO5,2
P014,PO5,1
P014,PO1,2
P015,PO5,1
P015,PO2,2
P016,PO5,1
P017,PO3,1
P018,PO5,1
P018,PO2,2
P019,PO9,1
P020,PO4,1
P020,PO3,2
P020,PO16,3
P021,PO3,1
P021,PO1,2
P022,PO2,1
P022,PO4,2
P023,PO3,1
P024,PO11,1
P025,PO2,1
P026,PO5,1
P026,PO9,2
P027,PO9,1
P027,PO2,2
P027,PO5,3
P028,PO4,1
P028,PO7,2
P029,PO2,1
P029,PO4,2
P029,PO10,3
P030,PO2,1
P030,PO4,2
P030,PO14,3
P031,PO2,1
P032,PO2,1
P032,PO11,2
P033,PO1,1
P033,PO15,2
P034,PO12,1
P034,PO6,2
P035,PO2,1
P035,PO4,2
P035,PO9,3
P036,PO5,1
P036,PO1,2
P037,PO4,1
P037,PO3,2
P038,PO2,1
P039,PO2,1
P039,PO4,2
P040,PO12,1
P040,PO6,2
P041,PO2,1
P041,PO7,2
P041,PO9,3
P042,PO2,1
P042,PO1,2
P043,PO1,1
P043,PO8,2
P044,PO2,1
P044,PO8,2
P044,PO1,3
P045,PO2,1
P045,PO1,2
P046,PO2,1
P046,PO8,2
P046,PO1,3
P047,PO2,1
P047,PO1,2
P048,PO1,1
P049,PO2,1
P049,PO1,2
P050,PO2,1
P050,PO8,2
P050,PO7,3
P051,PO2,1
P051,PO1,2
P052,PO11,1
P052,PO1,2
P052,PO2,3
P053,PO6,1
P053,PO12,2
P053,PO13,3
P054,PO6,1
P054,PO14,2
P054,PO13,3
P055,PO6,1
P055,PO12,2
P056,PO4,1
P056,PO8,2
P056,PO15,3
P057,PO12,1
P057,PO8,2
P057,PO7,3
P058,PO12,1
P058,PO8,2
P058,PO2,3
P059,PO6,1
P059,PO8,2
P060,PO6,1
P060,PO8,2
P061,PO7,1
P061,PO4,2
P061,PO10,3
P062,PO6,1
P062,PO13,2
P062,PO4,3
P063,PO6,1
P063,PO8,2
P064,PO3,1
P065,PO3,1
P065,PO4,2
P066,PO3,1
P066,PO11,2
P067,PO17,1
P067,PO1,2
P068,PO1,1
P069,PO3,1
P069,PO9,2
P069,PO16,3
P070,PO11,1
P071,PO3,1
P072,PO3,1
P073,PO1,1
P074,PO1,1
P074,PO3,2
P075,PO1,1
P075,PO5,2
P076,PO5,1
P076,PO1,2
P077,PO1,1
P078,PO5,1
P078,PO1,2
P079,PO1,1
P080,PO1,1
P080,PO3,2
P081,PO1,1
P082,PO1,1
P083,PO5,1
P083,PO9,2
P083,PO1,3
P084,PO16,1
P084,PO3,2
P084,PO1,3
P085,PO6,1
P085,PO13,2
P086,PO7,1
P086,PO13,2
P086,PO11,3
P087,PO7,1
P087,PO9,2
P087,PO18,3
P088,PO7,1
P088,PO6,2
P088,PO3,3
P089,PO4,1
P089,PO6,2
P090,PO2,1
P090,PO4,2
P091,PO17,1
P092,PO2,1
P092,PO15,2
P093,PO2,1
P093,PO4,2
P093,PO10,3
P094,PO6,1
P094,PO14,2
P094,PO10,3
P095,PO15,1
P095,PO7,2
P095,PO10,3
P096,PO2,1
P096,PO4,2
P097,PO2,1
P097,PO10,2
P098,PO2,1
P098,PO10,2
P098,PO7,3
P099,PO6,1
P099,PO7,2
P100,PO6,1
P100,PO13,2
P100,PO14,3
P101,PO1,1
P101,PO3,2
