PhilosopherID,DimensionID,Rank
P001,PT1,1
P001,PT5,2
P001,PT2,3
P002,PT3,1
P002,PT5,2
P002,PT1,3
P002,PT2,4
P002,PT9,5
P003,PT3,1
P003,PT7,2
P003,PT1,3
P003,PT2,4
P003,PT11,5
P004,PT3,1
P004,PT1,2
P004,PT4,3
P005,PT1,1
P005,PT3,2
P005,PT7,3
P006,PT1,1
P006,PT13,2
P006,PT4,3
P007,PT1,1
P007,PT2,2
P007,PT13,3
P008,PT1,1
P008,PT2,2
P008,PT13,3
P009,PT3,1
P009,PT4,2
P009,PT1,3
P010,PT3,1
P010,PT4,2
P010,PT1,3
P010,PT2,4
P011,PT3,1
P011,PT4,2
P011,PT1,3
P012,PT3,1
P012,PT4,2
P012,PT1,3
P013,PT3,1
P013,PT4,2
P013,PT1,3
P013,PT2,4
P013,PT15,5
P014,PT3,1
P014,PT4,2
P014,PT1,3
P015,PT3,1
P015,PT7,2
P015,PT2,3
P015,PT4,4
P016,PT3,1
P016,PT4,2
P016,PT1,3
P016,PT15,4
P017,PT3,1
P017,PT5,2
P017,PT4,3
P017,PT8,4
P017,PT7,5
P018,PT3,1
P018,PT5,2
P018,PT4,3
P018,PT7,4
P019,PT1,1
P019,PT4,2
P019,PT12,3
P019,PT2,4
P020,PT2,1
P020,PT1,2
P020,PT10,3
P021,PT3,1
P021,PT5,2
P021,PT8,3
P021,PT11,4
P022,PT3,1
P022,PT1,2
P022,PT2,3
P022,PT4,4
P023,PT3,1
P023,PT5,2
P023,PT7,3
P023,PT4,4
P023,PT11,5
P024,PT3,1
P024,PT2,2
P024,PT1,3
P024,PT8,4
P025,PT5,1
P025,PT3,2
P025,PT2,3
P025,PT8,4
P025,PT4,5
P026,PT3,1
P026,PT5,2
P026,PT8,3
P026,PT4,4
P027,PT5,1
P027,PT3,2
P027,PT1,3
P027,PT4,4
P027,PT8,5
P028,PT2,1
P028,PT1,2
P028,PT12,3
P028,PT6,4
P029,PT3,1
P029,PT5,2
P029,PT1,3
P029,PT11,4
P029,PT2,5
P029,PT9,6
P029,PT4,7
P030,PT1,1
P030,PT2,2
P030,PT12,3
P030,PT6,4
P031,PT1,1
P031,PT2,2
P031,PT13,3
P031,PT6,4
P032,PT3,1
P032,PT5,2
P032,PT2,3
P032,PT10,4
P032,PT7,5
P033,PT3,1
P033,PT1,2
P033,PT9,3
P033,PT4,4
P034,PT2,1
P034,PT6,2
P034,PT13,3
P034,PT10,4
P035,PT1,1
P035,PT2,2
P035,PT6,3
P036,PT1,1
P036,PT4,2
P036,PT14,3
P036,PT9,4
P037,PT1,1
P037,PT3,2
P037,PT4,3
P037,PT9,4
P037,PT6,5
P038,PT7,1
P038,PT5,2
P038,PT11,3
P038,PT3,4
P039,PT5,1
P039,PT4,2
P039,PT8,3
P039,PT1,4
P040,PT2,1
P040,PT6,2
P040,PT13,3
P040,PT10,4
P041,PT7,1
P041,PT5,2
P041,PT3,3
P041,PT1,4
P041,PT2,5
P042,PT1,1
P042,PT5,2
