PhilosopherID,DimensionID,Rank
P001,RG5,1
P002,RG5,1
P003,RG5,1
P004,RG5,1
P005,RG5,1
P006,RG1,1
P007,RG1,1
P008,RG1,1
P009,RG6,1
P010,RG7,1
P011,RG1,1
P012,RG1,1
P013,RG1,1
P014,RG1,1
P015,RG1,1
P016,RG6,1
P017,RG6,1
P018,RG6,1
P019,RG1,1
P020,RG1,1
P021,RG1,1
P022,RG1,1
P023,RG1,1
P024,RG1,1
P025,RG1,1
P026,RG1,1
P027,RG1,1
P028,RG1,1
P029,RG1,1
P030,RG1,1
P031,RG1,1
P032,RG1,1
P033,RG1,1
P034,RG1,1
P035,RG1,1
P036,RG1,1
P037,RG1,1
P038,RG2,1
P039,RG2,1
P040,RG1,1
P041,RG1,1
P042,RG1,1
P043,RG1,1
P044,RG1,1
P045,RG2,1
P046,RG1,1
P047,RG1,1
P048,RG2,1
P049,RG2,1
P050,RG1,1
P051,RG1,1
P052,RG1,1
P053,RG1,1
P054,RG1,1
P055,RG1,1
P056,RG1,1
P057,RG1,1
P058,RG1,1
P059,RG1,1
P060,RG1,1
P061,RG1,1
P062,RG1,1
P063,RG1,1
P064,RG4,1
P065,RG4,1
P066,RG4,1
P067,RG4,1
P068,RG4,1
P069,RG4,1
P070,RG4,1
P071,RG4,1
P072,RG4,1
P073,RG8,1
P074,RG3,1
P075,RG3,1
P076,RG3,1
P077,RG3,1
P078,RG3,1
P079,RG3,1
P080,RG3,1
P081,RG3,1
P082,RG3,1
P083,RG6,1
P084,RG9,1
P085,RG7,1
P086,RG7,1
P087,RG7,1
P088,RG10,1
P089,RG2,1
P090,RG2,1
P091,RG2,1
P092,RG1,1
P093,RG2,1
P094,RG2,1
P095,RG2,1
P096,RG2,1
P097,RG1,1
P098,RG11,1
P099,RG2,1
P100,RG2,1
P101,RG3,1
