PhilosopherID,DimensionID,Rank
P001,RO6,1
P002,RO6,1
P003,RO6,1
P004,RO6,1
P005,RO6,1
P006,RO6,1
P007,RO6,1
P008,RO6,1
P009,RO6,1
P010,RO3,1
P011,RO3,1
P012,RO3,1
P013,RO3,1
P014,RO3,1
P015,RO3,1
P016,RO4,1
P017,RO10,1
P018,RO10,1
P019,RO3,1
P020,RO7,1
P020,RO1,2
P021,RO3,1
P022,RO4,1
P022,RO5,2
P023,RO2,1
P023,RO5,2
P024,RO2,1
P025,RO2,1
P025,RO5,2
P026,RO2,1
P026,RO7,2
P027,RO2,1
P027,RO1,2
P028,RO2,1
P028,RO5,2
P029,RO2,1
P029,RO5,2
P030,RO2,1
P030,RO7,2
P031,RO2,1
P031,RO5,2
P032,RO2,1
P032,RO5,2
P033,RO2,1
P033,RO1,2
P034,RO4,1
P034,RO1,2
P035,RO2,1
P035,RO5,2
P036,RO2,1
P037,RO2,1
P037,RO1,2
P037,RO7,3
P038,RO2,1
P038,RO7,2
P039,RO2,1
P039,RO5,2
P040,RO2,1
P040,RO1,2
P041,RO2,1
P041,RO1,2
P042,RO2,1
P042,RO1,2
P043,RO3,1
P043,RO5,2
P044,RO2,1
P044,RO1,2
P045,RO2,1
P045,RO1,2
P046,RO7,1
P046,RO1,2
P047,RO2,1
P047,RO1,2
P048,RO4,1
P048,RO1,2
P049,RO2,1
P049,RO1,2
P050,RO4,1
P050,RO1,2
P051,RO4,1
P051,RO2,2
P051,RO1,3
P052,RO3,1
P052,RO1,2
P053,RO1,1
P053,RO3,2
P054,RO3,1
P054,RO1,2
P055,RO3,1
P055,RO1,2
P056,RO4,1
P056,RO1,2
P057,RO4,1
P057,RO1,2
P058,RO4,1
P058,RO1,2
P059,RO4,1
P059,RO1,2
P060,RO3,1
P060,RO1,2
P061,RO2,1
P061,RO1,2
P062,RO4,1
P062,RO1,2
P063,RO1,1
P064,RO9,1
P064,RO1,2
P065,RO9,1
P066,RO9,1
P066,RO1,2
P067,RO12,1
P068,RO12,1
P069,RO9,1
P070,RO9,1
P070,RO1,2
P071,RO9,1
P071,RO8,2
P072,RO9,1
P072,RO8,2
P073,RO8,1
P074,RO8,1
P075,RO11,1
P076,RO11,1
P077,RO11,1
P078,RO11,1
P079,RO8,1
P080,RO8,1
P081,RO8,1
P082,RO13,1
P083,RO10,1
P084,RO10,1
P085,RO3,1
P085,RO1,2
P086,RO3,1
P086,RO1,2
P087,RO3,1
P087,RO5,2
P088,RO3,1
P088,RO1,2
P089,RO3,1
P089,RO5,2
P090,RO2,1
P090,RO1,2
P090,RO5,3
P091,RO4,1
P091,RO5,2
P092,RO3,1
P093,RO7,1
P093,RO4,2
P093,RO1,3
P094,RO4,1
P094,RO1,2
P095,RO3,1
P095,RO7,2
P096,RO4,1
P096,RO1,2
P097,RO7,1
P097,RO1,2
P097,RO5,3
P098,RO1,1
P098,RO4,2
P099,RO2,1
P100,RO2,1
P100,RO5,2
P101,RO8,1
P101,RO1,2
