PhilosopherID,DimensionID,Rank
P001,SM3,1
P002,SM3,1
P003,SM3,1
P004,SM3,1
P005,SM3,1
P006,SM3,1
P007,SM3,1
P008,SM3,1
P009,SM3,1
P010,SM7,1
P011,SM7,1
P012,SM7,1
P013,SM7,1
P014,SM7,1
P015,SM7,1
P016,SM7,1
P017,SM13,1
P018,SM13,1
P019,SM17,1
P020,SM1,1
P020,SM17,2
P021,SM14,1
P022,SM14,1
P023,SM14,1
P024,SM1,1
P024,SM10,2
P025,SM10,1
P025,SM1,2
P026,SM10,1
P026,SM11,2
P027,SM10,1
P027,SM3,2
P028,SM1,1
P028,SM11,2
P029,SM11,1
P030,SM15,1
P030,SM1,2
P031,SM10,1
P031,SM1,2
P032,SM11,1
P033,SM11,1
P034,SM8,1
P035,SM1,1
P036,SM4,1
P036,SM7,2
P037,SM9,1
P037,SM4,2
P038,SM16,1
P039,SM16,1
P040,SM8,1
P041,SM2,1
P042,SM2,1
P043,SM2,1
P044,SM2,1
P045,SM2,1
P046,SM2,1
P047,SM2,1
P048,SM2,1
P049,SM2,1
P050,SM14,1
P050,SM2,2
P051,SM4,1
P052,SM4,1
P053,SM4,1
P054,SM4,1
P054,SM15,2
P055,SM4,1
P056,SM1,1
P056,SM4,2
P057,SM8,1
P058,SM8,1
P059,SM8,1
P060,SM9,1
P061,SM8,1
P062,SM9,1
P063,SM9,1
P063,SM16,2
P064,SM5,1
P065,SM5,1
P066,SM5,1
P067,SM5,1
P068,SM5,1
P069,SM5,1
P070,SM5,1
P071,SM5,1
P072,SM5,1
P073,SM5,1
P074,SM6,1
P075,SM6,1
P076,SM6,1
P077,SM6,1
P078,SM6,1
P079,SM6,1
P080,SM6,1
P081,SM6,1
P082,SM6,1
P083,SM13,1
P084,SM13,1
P084,SM8,2
P085,SM12,1
P085,SM4,2
P086,SM12,1
P087,SM12,1
P087,SM17,2
P088,SM8,1
P088,SM12,2
P089,SM4,1
P090,SM1,1
P091,SM1,1
P091,SM2,2
P092,SM3,1
P092,SM1,2
P093,SM1,1
P093,SM3,2
P094,SM15,1
P094,SM9,2
P095,SM1,1
P095,SM4,2
P096,SM2,1
P097,SM2,1
P098,SM1,1
P099,SM16,1
P099,SM12,2
P100,SM15,1
P100,SM9,2
P101,SM6,1
